filepath,class,split
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_100.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1000.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1002.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1004.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1005.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1006.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1008.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1009.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_101.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1010.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1011.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1012.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1014.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1015.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1016.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1017.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1019.png,normal,train
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\train\normal\Normal_1020.png,normal,train
