image_path,prediction,confidence,output_path
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_10.png,normal,0.8651703894138336,results/images_dicom\normal\Normal_10_conf_0.87.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1001.png,normal,0.8867788687348366,results/images_dicom\normal\Normal_1001_conf_0.89.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1003.png,normal,0.8154975920915604,results/images_dicom\normal\Normal_1003_conf_0.82.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1013.png,normal,0.8960457518696785,results/images_dicom\normal\Normal_1013_conf_0.90.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1018.png,normal,0.7621169537305832,results/images_dicom\normal\Normal_1018_conf_0.76.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_102.png,normal,0.9741310309618711,results/images_dicom\normal\Normal_102_conf_0.97.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1021.png,normal,0.9291586130857468,results/images_dicom\normal\Normal_1021_conf_0.93.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1024.png,normal,0.882521815598011,results/images_dicom\normal\Normal_1024_conf_0.88.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1046.png,normal,0.882521815598011,results/images_dicom\normal\Normal_1046_conf_0.88.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1050.png,normal,0.9110626503825188,results/images_dicom\normal\Normal_1050_conf_0.91.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1056.png,normal,0.8834016546607018,results/images_dicom\normal\Normal_1056_conf_0.88.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1067.png,normal,0.7072659432888031,results/images_dicom\normal\Normal_1067_conf_0.71.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_107.png,normal,0.9510667137801647,results/images_dicom\normal\Normal_107_conf_0.95.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1070.png,normal,0.9140500873327255,results/images_dicom\normal\Normal_1070_conf_0.91.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1083.png,normal,0.9252728447318077,results/images_dicom\normal\Normal_1083_conf_0.93.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1085.png,normal,0.9116029664874077,results/images_dicom\normal\Normal_1085_conf_0.91.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1089.png,normal,0.846103623509407,results/images_dicom\normal\Normal_1089_conf_0.85.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_109.png,normal,0.7338668704032898,results/images_dicom\normal\Normal_109_conf_0.73.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_110.png,stone,0.5856751799583435,results/images_dicom\stone\Normal_110_conf_0.59.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1106.png,stone,0.6203725337982178,results/images_dicom\stone\Normal_1106_conf_0.62.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1139.png,normal,0.7716698199510574,results/images_dicom\normal\Normal_1139_conf_0.77.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1140.png,normal,0.8757580444216728,results/images_dicom\normal\Normal_1140_conf_0.88.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1141.png,normal,0.8204792141914368,results/images_dicom\normal\Normal_1141_conf_0.82.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1145.png,normal,0.8553678095340729,results/images_dicom\normal\Normal_1145_conf_0.86.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1153.png,stone,0.612135112285614,results/images_dicom\stone\Normal_1153_conf_0.61.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1161.png,normal,0.6460381150245667,results/images_dicom\normal\Normal_1161_conf_0.65.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1169.png,normal,0.9309431165456772,results/images_dicom\normal\Normal_1169_conf_0.93.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1182.png,normal,0.8025020807981491,results/images_dicom\normal\Normal_1182_conf_0.80.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1183.png,normal,0.7489951550960541,results/images_dicom\normal\Normal_1183_conf_0.75.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1194.png,normal,0.9037796035408974,results/images_dicom\normal\Normal_1194_conf_0.90.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1218.png,normal,0.870747372508049,results/images_dicom\normal\Normal_1218_conf_0.87.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1228.png,normal,0.6558164358139038,results/images_dicom\normal\Normal_1228_conf_0.66.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_123.png,normal,0.9324672594666481,results/images_dicom\normal\Normal_123_conf_0.93.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1232.png,normal,0.8409847468137741,results/images_dicom\normal\Normal_1232_conf_0.84.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1234.png,normal,0.825744017958641,results/images_dicom\normal\Normal_1234_conf_0.83.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1235.png,normal,0.8959874585270882,results/images_dicom\normal\Normal_1235_conf_0.90.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1254.png,normal,0.8582282811403275,results/images_dicom\normal\Normal_1254_conf_0.86.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1256.png,normal,0.9069866761565208,results/images_dicom\normal\Normal_1256_conf_0.91.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1264.png,normal,0.7966179400682449,results/images_dicom\normal\Normal_1264_conf_0.80.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1267.png,normal,0.7145955860614777,results/images_dicom\normal\Normal_1267_conf_0.71.png
C:\Users\HP Elitebook\Desktop\Kidney-stone-detection\processed\test\normal\Normal_1284.png,normal,0.8647343665361404,results/images_dicom\normal\Normal_1284_conf_0.86.png
